Frame 38: Sorpresa: 0.0004, Miedo: 0.0000, Enojado: 0.0001, Neutral: 0.0038, Triste: 0.0002, Disgustado: 0.0001, Feliz: 0.9954
Frame 39: Sorpresa: 0.0014, Miedo: 0.0002, Enojado: 0.0003, Neutral: 0.0247, Triste: 0.0014, Disgustado: 0.0005, Feliz: 0.9714
Frame 40: Sorpresa: 0.0014, Miedo: 0.0000, Enojado: 0.0001, Neutral: 0.0005, Triste: 0.0004, Disgustado: 0.0001, Feliz: 0.9975
Frame 41: Sorpresa: 0.0004, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0022, Triste: 0.0001, Disgustado: 0.0000, Feliz: 0.9972
Frame 42: Sorpresa: 0.0001, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0002, Triste: 0.0000, Disgustado: 0.0000, Feliz: 0.9996
Frame 43: Sorpresa: 0.0013, Miedo: 0.0001, Enojado: 0.0002, Neutral: 0.0155, Triste: 0.0012, Disgustado: 0.0002, Feliz: 0.9815
Frame 44: Sorpresa: 0.0004, Miedo: 0.0000, Enojado: 0.0001, Neutral: 0.0030, Triste: 0.0004, Disgustado: 0.0001, Feliz: 0.9960
Frame 45: Sorpresa: 0.0004, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0001, Triste: 0.0001, Disgustado: 0.0000, Feliz: 0.9994
Frame 46: Sorpresa: 0.0007, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0010, Triste: 0.0001, Disgustado: 0.0000, Feliz: 0.9982
Frame 47: Sorpresa: 0.0031, Miedo: 0.0002, Enojado: 0.0003, Neutral: 0.0044, Triste: 0.0004, Disgustado: 0.0002, Feliz: 0.9915
Frame 48: Sorpresa: 0.0012, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0054, Triste: 0.0002, Disgustado: 0.0001, Feliz: 0.9930
Frame 49: Sorpresa: 0.0001, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0008, Triste: 0.0000, Disgustado: 0.0000, Feliz: 0.9991
Frame 50: Sorpresa: 0.0005, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0006, Triste: 0.0002, Disgustado: 0.0000, Feliz: 0.9987
Frame 51: Sorpresa: 0.0007, Miedo: 0.0001, Enojado: 0.0001, Neutral: 0.0028, Triste: 0.0004, Disgustado: 0.0001, Feliz: 0.9959
Frame 52: Sorpresa: 0.0002, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0056, Triste: 0.0003, Disgustado: 0.0000, Feliz: 0.9938
Frame 53: Sorpresa: 0.0009, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0012, Triste: 0.0002, Disgustado: 0.0001, Feliz: 0.9975
Frame 54: Sorpresa: 0.0001, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0003, Triste: 0.0001, Disgustado: 0.0000, Feliz: 0.9995
Frame 55: Sorpresa: 0.0003, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0259, Triste: 0.0009, Disgustado: 0.0001, Feliz: 0.9727
Frame 56: Sorpresa: 0.0006, Miedo: 0.0000, Enojado: 0.0001, Neutral: 0.0000, Triste: 0.0001, Disgustado: 0.0000, Feliz: 0.9992
Frame 57: Sorpresa: 0.0017, Miedo: 0.0001, Enojado: 0.0001, Neutral: 0.0023, Triste: 0.0004, Disgustado: 0.0001, Feliz: 0.9954
Frame 58: Sorpresa: 0.0011, Miedo: 0.0001, Enojado: 0.0002, Neutral: 0.0100, Triste: 0.0005, Disgustado: 0.0003, Feliz: 0.9878
Frame 59: Sorpresa: 0.0021, Miedo: 0.0001, Enojado: 0.0001, Neutral: 0.0176, Triste: 0.0005, Disgustado: 0.0004, Feliz: 0.9792
Frame 60: Sorpresa: 0.0003, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0014, Triste: 0.0001, Disgustado: 0.0000, Feliz: 0.9981
Frame 61: Sorpresa: 0.0008, Miedo: 0.0001, Enojado: 0.0002, Neutral: 0.0021, Triste: 0.0004, Disgustado: 0.0001, Feliz: 0.9963
Frame 62: Sorpresa: 0.0017, Miedo: 0.0001, Enojado: 0.0003, Neutral: 0.0078, Triste: 0.0012, Disgustado: 0.0003, Feliz: 0.9887
Frame 63: Sorpresa: 0.0000, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0003, Triste: 0.0000, Disgustado: 0.0000, Feliz: 0.9997
Frame 64: Sorpresa: 0.0055, Miedo: 0.0007, Enojado: 0.0005, Neutral: 0.0260, Triste: 0.0018, Disgustado: 0.0004, Feliz: 0.9650
